node,x,y,rain_olf
159,474053.220186,6366883.997097,0.0
160,474181.973488,6366876.165855,0.0
161,477050.65177,6391360.880458,0.0
162,476876.65754,6391728.852268,0.0
163,476842.367116,6392176.082014,0.0
164,476523.167143,6392464.293326,0.0
165,476225.585938,6392782.25,0.0
166,476828.993783,6387689.808026,0.0
167,476709.185575,6387978.408279,0.0
168,476920.40625,6388185.0,0.0
169,476894.53125,6388383.0,0.0
170,476758.375,6388758.0,0.0
171,476830.4375,6388571.5,0.0
172,476916.061658,6388926.014073,0.0
173,476915.65138,6389156.43465,0.0
174,476853.529683,6389462.78635,0.0
175,476863.447495,6389895.264987,0.0
176,477113.334899,6390197.485482,0.0
177,477113.999097,6391050.244256,0.0
178,477139.689936,6390466.049904,0.0
179,477103.04099,6390733.404148,0.0
180,472863.916016,6366706.28125,0.0
181,475725.433277,6369067.590251,0.0
182,475716.69506,6369350.246787,0.0
183,475715.569048,6369252.358116,0.0
184,475722.376013,6369159.483763,0.0
185,475635.54566,6369404.622761,0.0
186,475583.238662,6369488.043442,0.0
187,475639.83029,6369014.066795,0.0
188,474063.836094,6367053.176431,0.0
189,474111.167279,6367073.764706,0.0
190,474086.991912,6367099.305882,0.0
191,474155.28125,6367072.055556,0.0
192,475591.056708,6368881.387795,0.0
193,475578.365672,6368794.522446,0.0
194,475565.960933,6368706.46794,0.0
195,475546.963842,6368528.092895,0.0
196,475549.426024,6368616.250796,0.0
197,475473.140583,6368490.371475,0.0
198,475550.905975,6368957.487083,0.0
199,475444.233697,6368407.213978,0.0
200,475407.597465,6368327.045647,0.0
201,475362.048224,6368246.742369,0.0
202,475316.529058,6368165.824916,0.0
203,474012.542206,6367047.427069,0.0
204,474013.160924,6367102.058648,0.0
205,473927.520848,6367018.432471,0.0
206,473815.328044,6366904.474296,0.0
207,473839.923627,6366994.446626,0.0
208,473705.030988,6366795.19902,0.0
209,473727.356394,6366883.479028,0.0
210,473618.478929,6366780.05603,0.0
211,473491.212683,6366703.512952,0.0
212,473531.482926,6366769.688709,0.0
213,473404.88883,6366717.008587,0.0
214,473309.493178,6366705.500797,0.0
215,473212.410741,6366687.214173,0.0
216,472898.067708,6366713.916667,0.0
217,472874.139881,6366738.904762,0.0
218,472975.392045,6366678.7,0.0
219,472927.005682,6366729.3,0.0
220,472951.198864,6366704.0,0.0
221,473069.914997,6366648.000823,0.0
222,473118.000109,6366662.576469,0.0
223,473019.657736,6366696.811773,0.0
224,475959.854713,6370358.146454,0.0
225,476030.589256,6370429.022854,0.0
226,476103.623378,6370491.170473,0.0
227,475807.540592,6390580.816931,0.0
228,475758.943198,6390870.387086,0.0
229,475789.015075,6391134.194355,0.0
230,475676.706623,6390436.56826,0.0
231,475623.9375,6390184.0,0.0
232,475757.909652,6389799.103116,0.0
233,475783.082515,6389392.334783,0.0
234,475533.116924,6391201.987647,0.0
235,475275.976527,6391548.957392,0.0
236,475092.6875,6391940.0,0.0
237,476510.636465,6387726.815051,0.0
238,476048.015061,6388690.835788,0.0
239,475878.666301,6389062.570427,0.0
240,476314.835543,6387999.218583,0.0
241,475992.371199,6388345.681476,0.0
242,475677.379943,6370072.320741,0.0
243,475741.713807,6370236.837808,0.0
244,475657.86389,6370168.541686,0.0
245,475584.618877,6369920.867187,0.0
246,475574.806471,6370016.782777,0.0
247,475802.762363,6370312.61082,0.0
248,475873.908179,6370390.241561,0.0
249,475714.258021,6370329.392758,0.0
250,475544.136877,6369592.911516,0.0
251,475533.987711,6369685.725118,0.0
252,475524.715226,6369773.526316,0.0
253,475509.521858,6369860.817381,0.0
254,473499.945325,6366387.762248,0.0
255,473168.711131,6366548.735711,0.0
256,473449.83958,6366458.810377,0.0
257,473372.031011,6366486.627101,0.0
258,473287.328533,6366473.023307,0.0
259,473213.364888,6366494.566398,0.0
260,473413.20867,6366362.620894,0.0
261,473072.164773,6366577.5,0.0
262,473096.357955,6366552.2,0.0
263,473120.551136,6366526.9,0.0
